track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,EYES_MOVING,1763347885.700,1763347887.651,1.951,00:00:04.738,00:00:06.689
1,EYES_MOVING,1763347888.434,1763347889.851,1.417,00:00:07.473,00:00:08.889
1,EYES_MOVING,1763347890.630,1763347890.764,0.134,00:00:09.669,00:00:09.803
1,EYES_MOVING,1763347893.492,1763347894.919,1.426,00:00:12.531,00:00:13.957
1,EYES_MOVING,1763347895.943,1763347896.464,0.521,00:00:14.982,00:00:15.503
1,EYES_MOVING,1763347897.243,1763347899.961,2.718,00:00:16.282,00:00:19.000
1,EYES_MOVING,1763347903.217,1763347903.743,0.526,00:00:22.256,00:00:22.782
1,EYES_MOVING,1763347904.510,1763347906.290,1.780,00:00:23.549,00:00:25.329
1,EYES_MOVING,1763347907.060,1763347910.635,3.575,00:00:26.098,00:00:29.673
1,EYES_MOVING,1763347911.397,1763347913.461,2.063,00:00:30.436,00:00:32.499
1,EYES_MOVING,1763347914.231,1763347914.361,0.129,00:00:33.270,00:00:33.399
1,EYES_MOVING,1763347915.154,1763347915.548,0.394,00:00:34.193,00:00:34.586
1,EYES_MOVING,1763347916.327,1763347918.265,1.938,00:00:35.365,00:00:37.303
