track_id,reason,start_ts,end_ts,duration_sec,start_hhmmss,end_hhmmss
1,HEAD_POSE_OFF,1762263121.736,1762263123.996,2.260,00:00:17.485,00:00:19.745
1,HEAD_POSE_OFF,1762263129.914,1762263132.171,2.257,00:00:25.663,00:00:27.920
1,HEAD_POSE_OFF,1762263137.625,1762263140.024,2.399,00:00:33.374,00:00:35.773
1,HEAD_POSE_OFF,1762263150.604,1762263151.403,0.799,00:00:46.353,00:00:47.152
1,HEAD_POSE_OFF,1762263158.622,1762263161.706,3.084,00:00:54.371,00:00:57.455
1,HEAD_POSE_OFF,1762263172.988,1762263177.899,4.912,00:01:08.737,00:01:13.648
1,HEAD_POSE_OFF,1762263181.261,1762263183.661,2.400,00:01:17.010,00:01:19.410
1,HEAD_POSE_OFF,1762263185.949,1762263190.206,4.257,00:01:21.698,00:01:25.956
1,HEAD_POSE_OFF,1762263207.871,1762263213.263,5.392,00:01:43.620,00:01:49.012
1,HEAD_POSE_OFF,1762263220.208,1762263221.143,0.935,00:01:55.957,00:01:56.892
1,HEAD_POSE_OFF,1762263245.078,1762263246.289,1.211,00:02:20.827,00:02:22.038
1,HEAD_POSE_OFF,1762263250.044,1762263254.629,4.585,00:02:25.793,00:02:30.378
2,HEAD_POSE_OFF,1762263408.636,1762263408.908,0.272,00:00:03.681,00:00:03.953
2,HEAD_POSE_OFF,1762263423.707,1762263423.963,0.256,00:00:18.753,00:00:19.008
2,HEAD_POSE_OFF,1762263433.486,1762263434.686,1.200,00:00:28.531,00:00:29.731
2,HEAD_POSE_OFF,1762263441.372,1762263442.061,0.689,00:00:36.417,00:00:37.106
2,HEAD_POSE_OFF,1762263445.789,1762263450.319,4.531,00:00:40.834,00:00:45.364
2,HEAD_POSE_OFF,1762263457.998,1762263469.969,11.972,00:00:53.043,00:01:05.014
